00H 00H 74H|Ta Horng Musical Instrument
00H 00H 75H|e-Tek Labs (Forte Tech)
00H 00H 76H|Electro-Voice
00H 00H 77H|Midisoft Corporation
00H 00H 78H|QSound Labs
00H 00H 79H|Westrex
00H 00H 7AH|Nvidia
00H 00H 7BH|ESS Technology
00H 00H 7CH|Media Trix Peripherals
00H 00H 7DH|Brooktree Corp
00H 00H 7EH|Otari Corp
00H 00H 7FH|Key Electronics, Inc.
00H 01H 00H|Shure Incorporated
00H 01H 01H|AuraSound
00H 01H 02H|Crystal Semiconductor
00H 01H 03H|Conexant (Rockwell)
00H 01H 04H|Silicon Graphics
00H 01H 05H|M-Audio (Midiman)
00H 01H 06H|PreSonus
00H 01H 08H|Topaz Enterprises
00H 01H 09H|Cast Lighting
00H 01H 0AH|Microsoft
00H 01H 0BH|Sonic Foundry
00H 01H 0CH|Line 6 (Fast Forward)
00H 01H 0DH|Beatnik Inc
00H 01H 0EH|Van Koevering Company
00H 01H 0FH|Altech Systems
00H 01H 10H|S & S Research
00H 01H 11H|VLSI Technology
00H 01H 12H|Chromatic Research
00H 01H 13H|Sapphire
00H 01H 14H|IDRC
00H 01H 15H|Justonic Tuning
00H 01H 16H|TorComp Research Inc.
00H 01H 17H|Newtek Inc.
00H 01H 18H|Sound Sculpture
00H 01H 19H|Walker Technical
00H 01H 1AH|Digital Harmony (PAVO)
00H 01H 1BH|InVision Interactive
00H 01H 1CH|T-Square Design
00H 01H 1DH|Nemesys Music Technology
00H 01H 1EH|DBX Professional (Harman Intl)
00H 01H 1FH|Syndyne Corporation
00H 01H 20H|Bitheadz
00H 01H 21H|Cakewalk Music Software
00H 01H 22H|Analog Devices
00H 01H 23H|National Semiconductor
00H 01H 24H|Boom Theory / Adinolfi Alternative Percussion
00H 01H 25H|Virtual DSP Corporation
00H 01H 26H|Antares Systems
00H 01H 27H|Angel Software
00H 01H 28H|St Louis Music
00H 01H 29H|Passport Music Software LLC (Gvox)
00H 01H 2AH|Ashley Audio Inc.
00H 01H 2BH|Vari-Lite Inc.
00H 01H 2CH|Summit Audio Inc.
00H 01H 2DH|Aureal Semiconductor Inc.
00H 01H 2EH|SeaSound LLC
00H 01H 2FH|U.S. Robotics
00H 01H 30H|Aurisis Research
00H 01H 31H|Nearfield Research
00H 01H 32H|FM7 Inc
00H 01H 33H|Swivel Systems
00H 01H 34H|Hyperactive Audio Systems
00H 01H 35H|MidiLite (Castle Studios Productions)
00H 01H 36H|Radikal Technologies
00H 01H 37H|Roger Linn Design
00H 01H 38H|TC-Helicon Vocal Technologies
00H 01H 39H|Event Electronics
00H 01H 3AH|Sonic Network Inc
00H 01H 3BH|Realtime Music Solutions
00H 01H 3CH|Apogee Digital
00H 01H 3DH|Classical Organs, Inc.
00H 01H 3EH|Microtools Inc.
00H 01H 3FH|Numark Industries
00H 01H 40H|Frontier Design Group, LLC
00H 01H 41H|Recordare LLC
00H 01H 42H|Starr Labs
00H 01H 43H|Voyager Sound Inc.
00H 01H 44H|Manifold Labs
00H 01H 45H|Aviom Inc.
00H 01H 46H|Mixmeister Technology
00H 01H 47H|Notation Software
00H 01H 48H|Mercurial Communications
00H 01H 49H|Wave Arts
00H 01H 4AH|Logic Sequencing Devices
00H 01H 4BH|Axess Electronics
00H 01H 4CH|Muse Research
00H 01H 4DH|Open Labs
00H 01H 4EH|Guillemot Corp
00H 01H 4FH|Samson Technologies
00H 01H 50H|Electronic Theatre Controls
00H 01H 51H|Blackberry (RIM)
00H 01H 52H|Mobileer
00H 01H 53H|Synthogy
00H 01H 54H|Lynx Studio Technology Inc.
00H 01H 55H|Damage Control Engineering LLC
00H 01H 56H|Yost Engineering, Inc.
00H 01H 57H|Brooks & Forsman Designs LLC / DrumLite
00H 01H 58H|Infinite Response
00H 01H 59H|Garritan Corp
00H 01H 5AH|Plogue Art et Technologie, Inc
00H 01H 5BH|RJM Music Technology
00H 01H 5CH|Custom Solutions Software
00H 01H 5DH|Sonarcana LLC
00H 01H 5EH|Centrance
00H 01H 5FH|Kesumo LLC
00H 01H 60H|Stanton (Gibson)
00H 01H 61H|Livid Instruments
00H 01H 62H|First Act / 745 Media
00H 01H 63H|Pygraphics, Inc.
00H 01H 64H|Panadigm Innovations Ltd
00H 01H 65H|Avedis Zildjian Co
00H 01H 66H|Auvital Music Corp
00H 01H 67H|You Rock Guitar (was: Inspired Instruments)
00H 01H 68H|Chris Grigg Designs
00H 01H 69H|Slate Digital LLC
00H 01H 6AH|Mixware
00H 01H 6BH|Social Entropy
00H 01H 6CH|Source Audio LLC
00H 01H 6DH|Ernie Ball / Music Man
00H 01H 6EH|Fishman
00H 01H 6FH|Custom Audio Electronics
00H 01H 70H|American Audio/DJ
00H 01H 71H|Mega Control Systems
00H 01H 72H|Kilpatrick Audio
00H 01H 73H|iConnectivity
00H 01H 74H|Fractal Audio
00H 01H 75H|NetLogic Microsystems
00H 01H 76H|Music Computing
00H 01H 77H|Nektar Technology Inc
00H 01H 78H|Zenph Sound Innovations
00H 01H 79H|DJTechTools.com
00H 01H 7AH|Rezonance Labs
00H 01H 7BH|Decibel Eleven
00H 01H 7CH|CNMAT
00H 01H 7DH|Media Overkill
00H 01H 7EH|Confusionists LLC
00H 01H 7FH|moForte Inc
00H 02H 00H|Miselu Inc
00H 02H 01H|Amelia's Compass LLC
00H 02H 02H|Zivix LLC
00H 02H 03H|Artiphon
00H 02H 04H|Synclavier Digital
00H 02H 05H|Light & Sound Control Devices LLC
00H 02H 06H|Retronyms Inc
00H 02H 07H|JS Technologies
00H 02H 08H|Quicco Sound
00H 02H 09H|A-Designs Audio
00H 02H 0AH|McCarthy Music Corp
00H 02H 0BH|Denon DJ
00H 02H 0CH|Keith Robert Murray
00H 02H 0DH|Google
00H 02H 0EH|ISP Technologies
00H 02H 0FH|Abstrakt Instruments LLC
00H 02H 10H|Meris LLC
00H 20H 29H|Focusrite/Novation
00H 20H 2AH|Samkyung Mechatronics
00H 20H 2BH|Medeli Electronics Co.
00H 20H 2CH|Charlie Lab SRL
00H 20H 2DH|Blue Chip Music Technology
00H 20H 2EH|BEE OH Corp
00H 20H 2FH|LG Semicon America
00H 20H 30H|TESI
00H 20H 31H|EMAGIC
00H 20H 32H|Behringer GmbH
00H 20H 33H|Access Music Electronics
00H 20H 34H|Synoptic
00H 20H 35H|Hanmesoft
00H 20H 36H|Terratec Electronic GmbH
00H 20H 37H|Proel SpA
00H 20H 38H|IBK MIDI
00H 20H 39H|IRCAM
00H 20H 3AH|Propellerhead Software
00H 20H 3BH|Red Sound Systems Ltd
00H 20H 3CH|Elektron ESI AB
00H 20H 3DH|Sintefex Audio
00H 20H 3EH|MAM (Music and More)
00H 20H 3FH|Amsaro GmbH
00H 20H 40H|CDS Advanced Technology BV (Lanbox)
00H 20H 41H|Mode Machines (Touched By Sound GmbH)
00H 20H 42H|DSP Arts
00H 20H 43H|Phil Rees Music Tech
00H 20H 44H|Stamer Musikanlagen GmbH
00H 20H 45H|Musical Muntaner S.A. dba Soundart
00H 20H 46H|C-Mexx Software
00H 20H 47H|Klavis Technologies
00H 20H 48H|Noteheads AB
00H 20H 49H|Algorithmix
00H 20H 4AH|Skrydstrup R&D
00H 20H 4BH|Professional Audio Company
00H 20H 4CH|NewWave Labs (MadWaves)
00H 20H 4DH|Vermona
00H 20H 4EH|Nokia
00H 20H 4FH|Wave Idea
00H 20H 50H|Hartmann GmbH
00H 20H 51H|Lion's Tracs
00H 20H 52H|Analogue Systems
00H 20H 53H|Focal-JMlab
00H 20H 54H|Ringway Electronics (Chang-Zhou) Co Ltd
00H 20H 55H|Faith Technologies (Digiplug)
00H 20H 56H|Showworks
00H 20H 57H|Manikin Electronic
00H 20H 58H|One Come Tech
00H 20H 59H|Phonic Corp
00H 20H 5AH|Dolby Australia (Lake)
00H 20H 5BH|Silansys Technologies
00H 20H 5CH|Winbond Electronics
00H 20H 5DH|Cinetix Medien und Interface GmbH
00H 20H 5EH|A&G Soluzioni Digitali
00H 20H 5FH|Sequentix Music Systems
00H 20H 60H|Oram Pro Audio
00H 20H 61H|Be4 Ltd
00H 20H 62H|Infection Music
00H 20H 63H|Central Music Co. (CME)
00H 20H 64H|genoQs Machines GmbH
00H 20H 65H|Medialon
00H 20H 66H|Waves Audio Ltd
00H 20H 67H|Jerash Labs
00H 20H 68H|Da Fact
00H 20H 69H|Elby Designs
00H 20H 6AH|Spectral Audio
00H 20H 6BH|Arturia
00H 20H 6CH|Vixid
00H 20H 6DH|C-Thru Music
00H 20H 6EH|Ya Horng Electronic Co LTD
00H 20H 6FH|SM Pro Audio
00H 20H 70H|OTO MACHINES
00H 20H 71H|ELZAB S.A. (G LAB)
00H 20H 72H|Blackstar Amplification Ltd
00H 20H 73H|M3i Technologies GmbH
00H 20H 74H|Gemalto (from Xiring)
00H 20H 75H|Prostage SL
00H 20H 76H|Teenage Engineering
00H 20H 77H|Tobias Erichsen Consulting
00H 20H 78H|Nixer Ltd
00H 20H 79H|Hanpin Electron Co Ltd
00H 20H 7AH|MIDI-hardware R.Sowa
00H 20H 7BH|Beyond Music Industrial Ltd
00H 20H 7CH|Kiss Box B.V.
00H 20H 7DH|Misa Digital Technologies Ltd
00H 20H 7EH|AI Musics Technology Inc
00H 20H 7FH|Serato Inc LP
00H 21H 00H|Limex
00H 21H 01H|Kyodday (Tokai)
00H 21H 02H|Mutable Instruments
00H 21H 03H|PreSonus Software Ltd
00H 21H 04H|Xiring
00H 21H 05H|Fairlight Instruments Pty Ltd
00H 21H 06H|Musicom Lab
00H 21H 07H|Modulus (VacoLoco)
00H 21H 08H|RWA (Hong Kong) Limited
00H 21H 09H|Native Instruments
00H 21H 0AH|Naonext
00H 21H 0BH|MFB
00H 21H 0CH|Teknel Research
00H 21H 0DH|Ploytec GmbH
00H 21H 0EH|Surfin Kangaroo Studio
00H 21H 0FH|Philips Electronics HK Ltd
00H 21H 10H|ROLI Ltd
00H 21H 11H|Panda-Audio Ltd
00H 21H 12H|BauM Software
00H 21H 13H|Machinewerks Ltd.
00H 21H 14H|Xiamen Elane Electronics
00H 21H 15H|Marshall Amplification PLC
00H 21H 16H|Kiwitechnics Ltd
00H 21H 17H|Rob Papen
00H 21H 18H|Spicetone OU
00H 21H 19H|V3Sound
00H 21H 1AH|IK Multimedia
00H 21H 1BH|Novalia Ltd
00H 21H 1CH|Modor Music
00H 21H 1EH|Dtronics
00H 21H 1FH|ZAQ Audio
00H 21H 20H|Muabaobao Education Technology Co Ltd
40H|Kawai Musical Instruments MFG. CO. Ltd
41H|Roland Corporation
42H|Korg Inc.
43H|Yamaha Corporation
44H|Casio Computer Co. Ltd
46H|Kamiya Studio Co. Ltd
47H|Akai Electric Co. Ltd.
48H|Victor Company of Japan, Ltd.
4BH|Fujitsu Limited
4CH|Sony Corporation
4EH|Teac Corporation
50H|Matsushita Electric Industrial Co. , Ltd
51H|Fostex Corporation
52H|Zoom Corporation
54H|Matsushita Communication Industrial Co., Ltd.
55H|Suzuki Musical Instruments MFG. Co., Ltd.
56H|Fuji Sound Corporation Ltd.
57H|Acoustic Technical Laboratory, Inc.
59H|Faith, Inc.
5AH|Internet Corporation
5CH|Seekers Co. Ltd.
5FH|SD Card Association
00H 40H 00H|Crimson Technology Inc.
00H 40H 01H|Softbank Mobile Corp
00H 40H 03H|D&M Holdings Inc.
